,code,Lat,Lon,he,geometry,dist,dist_to_france
2731,BJTV,65.502541482,-24.5315581,105.3109559,POINT (-2730840.556057606 7291709.56344152),85.51734963538351,2874079.263747437
2739,BKON,55.15949687,-159.570166924,173.3342432,POINT (-17763269.727777347 6140327.103981568),176.2497105298503,7333514.26563788
2777,BLGS,-62.198303343,-58.963639791,37.1862905,POINT (-6563802.3568521235 -6923883.456348326),900.7133481318905,7178994.850356955
2790,BLLM,53.441556483,-354.312307896,54.5440232,POINT (633150.988806203 5949086.854887527),969.8804438002403,377839.1275944956
2837,BN01,-20.219012185,-70.152676322,45.5969044,POINT (-7809360.205950379 -2250770.140777194),841.245985662984,3046305.7852019896
2848,BN15,-18.478884287,-70.321342106,60.1817974,POINT (-7828135.9951395085 -2057059.989256664),789.965382505115,2900941.864184087
2852,BN20,-42.481913929,-73.765474693,71.5694608,POINT (-8211535.080948868 -4729065.026499956),93.15998627780475,5419093.275226071
2877,BNGR,54.665671951,-5.671276071,61.2369714,POINT (-631323.5643717973 6085354.765457458),580.539510686937,682648.7532979021
2883,BNON,2.520807177,-263.849175697,8.2568701,POINT (10703460.80076347 280614.9713316694),470.0227614209235,4945412.756515263
2936,BOMA,37.930972027,-344.080259207,63.5504451,POINT (1772177.4386376687 4222456.491339544),127.3905105975878,836585.3856591464
2983,BOU1,16.132434334,-61.769976048,-26.9356066,POINT (-6876202.279976064 1795854.3753168036),98.8734242434004,98.8734242434004
2991,BOV2,38.14410283,-343.83290821,58.3235551,POINT (1799712.4256709078 4246182.103801866),277.2892334571833,849815.2711342743
2993,BOVA,37.935468898,-344.088913958,73.3788981,POINT (1771213.9961634036 4222957.080729427),414.566478317541,835500.0807587708
3116,BRPT,41.161678635,-73.211836434,-22.1543212,POINT (-8149904.351873314 4582097.105844568),187.47613478058688,1975607.8699080124
3154,BSAT,-3.076691448,-259.715436427,5.9005783,POINT (11163626.55137203 -342495.72531937953),189.0878501904659,4622440.1560371015
3178,BTHL,0.569181482,-262.289357663,67.3911271,POINT (10877098.950038517 63360.9927452008),500.9827484493349,4827267.145222564
3223,BUKA,-5.426212628,-205.330992763,73.1641164,POINT (17217675.12712398 -604043.2266849908),67.4964344784007,1868450.949225982
3238,BUR3,42.49594815,-332.522203028,72.9885118,POINT (3058814.3670439958 4730627.308835356),840.5259994622756,1994772.637919627
3260,BUT1,58.515605938,-6.260912488,115.1307943,POINT (-696961.5900654076 6513927.4564780155),429.2566478702388,1090715.99598759
3271,BVF1,37.71672017,-25.446235055,113.8133871,POINT (-2832661.9289285475 4198606.08371679),233.59108231795804,2557969.595348848
3300,C005,30.837712095,-230.046867253,142.3886911,POINT (14466316.564386725 3432838.4076449736),241.64680828505666,6752916.804180472
3318,CA08,48.007544162,-66.65721552,-5.1434276,POINT (-7420247.289383892 5344175.370349433),151.49738742725407,1146610.5385379356
3348,CABO,37.630865667,-0.698398331,56.4677605,POINT (-77745.34657779214 4189048.8041605214),320.8857319447179,567409.1032573717
3378,CAD5,-66.552461488,-252.235990116,47.4945494,POINT (11996234.706128176 -7408586.1238831105),198.69328474960662,4567122.775285388
3383,CADY,37.727958329,-122.504999158,-4.1205331,POINT (-13637194.125898968 4199857.1098541245),444.07182370075225,3391082.9637430646
3387,CAEF,39.226824952,-350.890437993,124.2860822,POINT (1014071.8039689924 4366710.179093518),961.6096428461568,238367.57905306196
3393,CAEU,40.804995004,-124.136108386,-22.1166424,POINT (-13818768.374588136 4542391.265667352),245.58828652894076,3778532.9093256635
3413,CAHB,37.506167597,-122.490346308,-18.7788124,POINT (-13635562.9780983 4175167.4785052175),491.2151794055623,3368161.5279315
3419,CAIB,32.574829579,-117.12655199,-25.4211919,POINT (-13038468.125898683 3626213.441411946),679.414626312223,2629819.736335723
3457,CAM0,11.850288784,-250.830076186,19.3316367,POINT (12152740.328914948 1319168.113188121),978.7775662710732,6554973.117775396
3484,CAN1,40.147621194,-333.588872838,64.4988798,POINT (2940073.226950235 4469212.747877318),874.277703837358,1889057.1039232577
3506,CAOS,33.197793451,-117.378085533,-3.3732481,POINT (-13066468.711822873 3695561.4624255924),964.7601336738469,2704540.8657654803
3509,CAP1,37.714176075,-122.222084027,-20.8476808,POINT (-13605700.157578334 4198322.876356861),960.179091812025,3376095.38638727
3513,CAP5,34.407701989,-119.549119788,-26.8276753,POINT (-13308147.139584225 3830247.864782186),212.9863609470509,2918175.7799481447
3518,CAPE,33.746568957,-118.280070532,-13.9920608,POINT (-13166877.222614722 3756650.8723133337),499.60674255205953,2796749.86941933
3578,CASN,34.415688527,-119.845288562,3.4831798,POINT (-13341116.496694772 3831136.922125547),563.3646791851857,2932119.0045792563
3590,CAT3,33.445761313,-118.483005549,5.1217086,POINT (-13189467.845371287 3723165.118556529),155.11358155341935,2773841.6300919256
3600,CATH,46.197302668,-123.367270802,56.3635389,POINT (-13733181.766234526 5142660.209024498),838.1195402881858,4293801.644633506
3648,CBKL,-3.796193523,-257.733826613,22.8540614,POINT (11384218.346817462 -422590.32993308327),100.02926538007654,4681807.324834947
