site_id;status;four_char_id;domes;date_installed;date_removed;X;Y;Z;Latitude;Longitude;Elevation;primaryDataCenter;secondaryDataCenter;SiteContact;location;state_province;country
SETE00FRA;Active;SETE;19940M001;2007-10-26T06:48Z;;4632080.934;299471.798;4359743.459;43.397650662473;3.6991200241451;53.899;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.ign.fr);OREME;Sete;Herault;France (FRA)
SJDV00FRA;Inactive;SJDV;10090M001;1997-10-14T10:00Z;;4433469.65;362673.097;4556211.878;45.879086678587;4.6765791963402;432.41;IGN;BKG;OSUG;Saint Jean des Vignes;Saone et Loire;France (FRA)
SLVT00FRA;Active;SLVT;19975M001;2006-01-09T12:00Z;;4594761.073;262378.671;4402240.717;43.919805631065;3.2682617876122;811.822;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.;OREME;La Salvetat - Couvertoirade;Aveyron;France (FRA)
SMTG00FRA;Active;SMTG;19936M001;2010-02-17T00:00Z;;4219870.922;-149386.734;4764322.118;48.641082639326;-2.0274687776706;57.815;IGN;RENAG (ftp://renag.unice.fr);OASU;Saint-Malo;Ille et Vilaine;France (FRA)
SOPH00FRA;Active;SOPH;19946M001;2001-01-12T13:00Z;;4590479.019;568040.474;4377057.14;43.611429920995;7.0541028180696;178.819;RENAG;;OCA;VALBONNE;Alpes-Maritimes;France (FRA)
STEY00FRA;Active;STEY;19996M001;2003-05-27T13:15Z;;4477316.001;451772.169;4506785.324;45.235221035451;5.7617833708618;1394.895;RENAG;;OSUG;Saint Eynard;Isere;France (FRA)
STJ900FRA;Active;STJ9;10014M001;1999-11-06T10:00Z;;4186323.827;564809.553;4763029.522;48.621664047407;7.6838216617429;237.149;RENAG ftp://renag.unice.fr;IGN ftp://rgpdata.ign.fr or rgpdata.ensg.ign.fr;EOST;Strasbourg;Bas-Rhin;France (FRA)
STMR00FRA;Active;STMR;19726M001;2008-04-08T12:00Z;;4624016.709;357555.263;4363900.453;43.449148573472;4.4216367421844;56.066;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.ign.fr);OREME;Saintes-Maries de la Mer;Bouches du Rhone;France (FRA)
SURF00FRA;Active;SURF;18637M001;2017-01-12T10:00Z;;4527343.274;540794.557;4447684.737;44.480913673967;6.8117485162899;1868.968;RENAG;;OSUG;Meyronnes;Alpes-de-Haute-Provence;France (FRA)
SVRN00FRA;Inactive;SVRN;19945M001;2001-09-06T00:00Z;;4510503.863;546396.669;4465576.7;44.696889296034;6.9070824543946;2999.339;RENAG;;OCA;Saint Veran;Hautes Alpes;France (FRA)
TAOU00FRA;Active;TAOU;18347M001;2023-09-08T08:30Z;;4679621.734;13414.552;4322680.001;42.921091;0.164243;2340;RENAG;;OMP;La Mongie;Hautes-Pyrenees;France (FRA)
TENC00FRA;Active;TENC;19944M001;2004-04-05T00:00Z;;4495835.23;337054.64;4497789.42;45.124562340831;4.2874678002003;935.86;RENAG;;RESIF;Tence;Haute-Loire;France (FRA)
TLTG00FRA;Active;TLTG;18682M001;2017-10-27T00:00Z;;4638276.771;480395.353;4337064.959;43.117378280556;5.9131517972222;51.877;IGN;RENAG (ftp://renag.unice.fr);OASU;Toulon;Provence-Alpes-Cote d'Azur;France (FRA)
TROP00FRA;Active;TROP;19943M001;2005-06-02T00:00Z;;4624695.67;535178.509;4345555.91;43.219485967363;6.6010142581348;369.292;RENAG;;OCA;Gassin;Var;France (FRA)
UCBL00FRA;Active;UCBL;18360M001;2022-10-22T00:00Z;;4439861.041;378297.402;4548506.247;45.78129188822;4.8701118247266;249.27096714824;RENAG;;OSUL;Villeurbanne;Rhone;France (FRA)
WANN00FRA;Active;WANN;18234M001;2008-07-08T00:00Z;;4052582.132;231256.763;4903360.377;50.569758585772;3.2659874737339;97.822512209415;RENAG;ORPHEON;ORPHEON;WANNEHAIN;Hauts-de-France;France (FRA)
WLBH00FRA;Active;WLBH;19942M001;2000-10-16T15:00Z;;4206975.859;542755.146;4748254.739;48.415172785473;7.3513016507346;819.078;RENAG (ftp://renag.unice.fr);RGP ftp://rgpdata.ign.fr or rgpdata.ensg.ign.fr;EOST;le Hohwald;Bas-Rhin;France (FRA)
