The Geodesy Plotter,Date: 2026-05-11 11:16:31,Total: 5789,"solution: SPOTGINS
productType: POSITION
"

NAME,EPOCH START,EPOCH END,UPDATED,DOI,REF FRAME,CONSTELLATION,DOWNLOAD URL,YEARS,FILL RATE,NETWORKS,ANALYSIS CENTER,SOLUTION,STATION,PRODUCT TYPE
SPOTGINS_039900DEU.ENU,2002-12-01T00:00:00Z,2008-01-24T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/039900DEU/SPOTGINS_039900DEU.enu,5.147843910817046,98.67021276595744,,EOST,SPOTGINS,039900DEU,POSITION
SPOTGINS_040000DEU.ENU,2006-04-27T00:00:00Z,2022-01-13T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/040000DEU/SPOTGINS_040000DEU.enu,15.703513543488732,98.74564459930313,,EOST,SPOTGINS,040000DEU,POSITION
SPOTGINS_040100DEU.ENU,2006-10-18T00:00:00Z,2024-03-03T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/040100DEU/SPOTGINS_040100DEU.enu,17.37497144903288,90.53095950842918,,EOST,SPOTGINS,040100DEU,POSITION
SPOTGINS_040200DEU.ENU,2008-01-24T00:00:00Z,2016-12-15T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/040200DEU/SPOTGINS_040200DEU.enu,8.88432577255558,99.16871921182266,,EOST,SPOTGINS,040200DEU,POSITION
SPOTGINS_040300DEU.ENU,2010-11-03T00:00:00Z,2024-02-10T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/040300DEU/SPOTGINS_040300DEU.enu,13.268309345450858,88.94161336909428,,EOST,SPOTGINS,040300DEU,POSITION
SPOTGINS_040400DEU.ENU,2010-11-09T00:00:00Z,2024-02-10T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/040400DEU/SPOTGINS_040400DEU.enu,13.251882240728065,86.67630654823384,,EOST,SPOTGINS,040400DEU,POSITION
SPOTGINS_040500DEU.ENU,2013-11-06T00:00:00Z,2022-01-13T23:59:59Z,2025-05-20T12:57:21Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/040500DEU/SPOTGINS_040500DEU.enu,8.186173821836896,98.2280173854898,,EOST,SPOTGINS,040500DEU,POSITION
SPOTGINS_040600DEU.ENU,2014-02-27T00:00:00Z,2022-01-13T23:59:59Z,2025-05-20T12:57:21Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/040600DEU/SPOTGINS_040600DEU.enu,7.862422966258524,98.29683698296837,,EOST,SPOTGINS,040600DEU,POSITION
SPOTGINS_040700DEU.ENU,2021-01-07T00:00:00Z,2022-01-13T23:59:59Z,2025-05-20T12:57:21Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/040700DEU/SPOTGINS_040700DEU.enu,1.019164923821837,98.65591397849462,,EOST,SPOTGINS,040700DEU,POSITION
SPOTGINS_045700JPN.ENU,2016-11-01T00:00:00Z,2026-02-18T23:59:59Z,2026-04-27T06:44:31Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/045700JPN/SPOTGINS_045700JPN.enu,9.295687853322178,98.46923756255521,[],ULR,SPOTGINS,045700JPN,POSITION
