WL15    E01      24464      -0.44
WL15    E02      24464       0.01
WL15    E03      24464       0.01
WL15    E04      24464       0.10
WL15    E05      24464      -0.95
WL15    E07      24464      -0.30
WL15    E08      24464       0.12
WL15    E09      24464       0.19
WL15    E11      24464      -0.09
WL15    E12      24464      -0.14
WL15    E14      24464      -0.34
WL15    E18      24464       0.43
WL15    E19      24464       0.50
WL15    E20      24464       0.93
WL15    E22      24464       0.05
WL15    E24      24464       0.16
WL15    E26      24464      -0.08
WL15    E30      24464      -0.42
WL15    E07      24538      -0.08
WL15    E05      24540      -0.49
WL15    E04      24588       0.29
WL15    E06      24588       0.01
WL15    E10      24588       0.01
WL15    E13      24588       0.45
WL15    E15      24588       0.01
WL15    E16      24588       0.01
WL15    E17      24588       0.01
WL15    E20      24588      -0.07
WL15    E21      24588      -0.16
WL15    E22      24588       0.07
WL15    E23      24588       0.01
WL15    E25      24588      -0.40
WL15    E27      24588       0.25
WL15    E28      24588       0.01
WL15    E29      24588       0.01
WL15    E31      24588       0.01
WL15    E32      24588       0.01
WL15    E03      24590      -0.09
WL15    E25      24947       0.05
WL15    E31      24950       0.45
WL15    E11      24970      -0.29
WL15    E21      24970      -0.41
WL15    E27      24970       0.05
WL15    E19      25034       0.15
WL15    E15      25082       0.25
WL15    E21      25082      -0.51
WL15    E33      25082       0.07
WL15    E34      25082       0.01
WL15    E35      25082       0.01
WL15    E36      25082      -0.12
WL15    E13      25110       0.02
WL15    E15      25135       0.09
WL15    E18      25253       0.08
WL15    E33      25295       0.45
WL15    E05      25330       0.17 
WL15    E22      25330      -0.17
WL15    E11      25515       0.44
WL15    E19      25655      -0.35 
WL15    E24      25838      -0.09 
WL15    E36      26004       0.23
WL15    E30      26239      -0.52
WL15    E26      26256      -0.46
WL15    E10      26297       0.09
WL15    E34      26297       0.06
WL15    E10      26320      -0.40
WL15    E19      26353      -0.25
WL15    E24      26369       0.21
WL15    E09      26377       0.24
WL15    E01      26453      -0.18
WL15    E12      26458      -0.25
WL15    E09      26487       0.14 
WL15    E10      26494      -0.10
WL15    E12      26494      -0.52
WL15    E34      26494      -0.37
WL15    E10      26529      -0.22 
WL15    E14      26555       0.16
WL15    E21      26590      -0.21 
WL15    E02      26599      -0.26  
WL15    E07      26613      -0.32
WL15    E11      26642      -0.06
WL15    E08      26690      -0.14
WL15    E14      26690      -0.04
WL15    E26      26696      -0.82
WL15    E15      26703      -0.02
WL15    E01      26728       0.12
WL15    E13      26728      -0.17
WL15    E30      26737      -0.68
WL15    E27      26743      -0.45
WL15    E24      26751       0.07
WL15    E09      26771       0.49 
WL15    E03      26797      -0.32
WL15    E31      26842       0.23
WL15    E33      26865       0.69
WL15    E25      26883      -0.46 
WL15    E13      26927      -0.27 
WL15    E18      26944       0.37
WL15    E05      26978      -0.43
WL15    E18      26986       0.07
WL15    E14      26999       0.26
WL15    E18      27059       0.02
WL15    E18      27128       0.30
WL15    E14      27139       0.16
WL15    E29      27181      -0.40
WL15    E06      27183       0.25
WL15    E06      27206       0.10
WL15    E27      27211      -0.10
WL15    E27      27216      -0.40
WL15    E29      27216      -0.13
WL15    E04      27223       0.09
WL15    E26      27276      -0.14
WL15    E16      27277       0.05
WL15    E23      27277       0.38
WL15    E23      27363       0.08
WL15    E16      27367      -0.05
WL15    E26      27367      -0.24
WL15    E12      27421      -0.22
WL15    E12      27424      -0.15
WL15    E23      27450      -0.04
WL15    E14      27496       0.02
WL15    E06      27555      -0.02
WL15    E24      27556      -0.40
WL15    E12      27580      -0.10
WL15    E30      27599      -0.95
WL15    E09      27655       0.42
WL15    E08      27660      -0.44
WL15    E07      27692      -0.50
WL15    E03      27712      -0.02
WL15    E05      27720      -0.48
WL15    E28      27782      -0.30
WL15    E32      27782       0.30
WL15    E03      27800       0.08
WL15    E28      27804      -0.10
WL15    E32      27804       0.10
WL15    E28      27805       0.40
WL15    E28      27810       0.24
WL15    E32      27810       0.05
