#VERSION 1.0
#RADIUS    0.6378137000000000E+07
#1/FLAT    0.2982572221010000E+03
#ITRF2020

 1018005 GRG3 BRST00FRA  LEICA GRX1200PRO      ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504        NONE 226                  0.0 20070419_180000 20080611_100000 log_file
 1018006 GRG3 BRST00FRA  LEICA GRX1200GGPRO    ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 1136                 0.0 20080611_100000 20090511_000000 log_file
 1018007 GRG3 BRST00FRA  LEICA GRX1200GGPRO    ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 1136                 0.0 20090511_000000 20101013_110000 log_file
 1018008 GRG3 BRST00FRA  LEICA GRX1200GGPRO    ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 1136                 0.0 20101013_110000 20110323_090000 log_file
 1018009 GRG3 BRST00FRA  LEICA GRX1200GGPRO    ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 1136                 0.0 20110323_090000 20110614_070000 log_file
 1018010 GRG3 BRST00FRA  LEICA GRX1200GGPRO    ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 1136                 0.0 20110614_070000 20111026_080000 log_file
 1018011 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441112346           0.0 20111026_080000 20120302_000000 log_file
 1018012 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441112346           0.0 20120302_000000 20120419_120000 log_file
 1018013 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20120419_120000 20120531_070000 log_file
 1018014 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20120531_070000 20120831_110000 log_file
 1018015 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20120831_110000 20130211_170000 log_file
 1018016 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20130211_170000 20130516_080000 log_file
 1018017 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20130516_080000 20131017_080000 log_file
 1018018 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20131017_080000 20140326_090000 log_file
 1018019 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20140326_090000 20150930_090000 log_file
 1018020 GRG3 BRST00FRA  TRIMBLE NETR9         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20150930_090000 20180618_160000 log_file
 1018021 GRG3 BRST00FRA  SEPT POLARX5          ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20180618_160000 20180704_100000 log_file
 1018022 GRG3 BRST00FRA  SEPT POLARX5          ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20180704_100000 20181128_150000 log_file
 1018023 GRG3 BRST00FRA  TRIMBLE ALLOY         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20181128_160000 20200218_100000 log_file
 1018024 GRG3 BRST00FRA  TRIMBLE ALLOY         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20200218_100000 20200511_120000 log_file
 1018025 GRG3 BRST00FRA  TRIMBLE ALLOY         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20200511_120000 20200930_103000 log_file
 1018026 GRG3 BRST00FRA  TRIMBLE ALLOY         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20200930_103000 20200930_150000 log_file
 1018027 GRG3 BRST00FRA  TRIMBLE ALLOY         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20200930_150000 20240702_130000 log_file
 1018028 GRG3 BRST00FRA  TRIMBLE ALLOY         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20240702_130000 20251204_110000 log_file
 1018029 GRG3 BRST00FRA  TRIMBLE ALLOY         ecc_une        2.043100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441017048           0.0 20251204_110000 20990101_000000 log_file

   10433      CZTG00ATF                        mar_xyz  2719994.820000 0.000001  3463392.630000 0.000001 -4598612.940000 0.000001 vit_xyz  0.00000 0.0000  0.00000 0.0000  0.00000 0.0000  20100101_000000                 i20i20
 1043300 GRG3 CZTG00ATF  LEICA GR25            ecc_une        0.440000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAR20         LEIM 16247017             0.0 20140314_120000 20160502_045000 log_file
 1043301 GRG3 CZTG00ATF  LEICA GR25            ecc_une        0.440000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAR20         LEIM 16247017             0.0 20160502_045000 20160917_120000 log_file
 1043302 GRG3 CZTG00ATF  LEICA GR25            ecc_une        0.440000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAR20         LEIM 16247017             0.0 20160917_120000 20181115_000000 log_file
 1043303 GRG3 CZTG00ATF  TRIMBLE NETR9         ecc_une        0.440000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAR20         LEIM 16247017             0.0 20181115_000000 20190324_000000 log_file
 1043304 GRG3 CZTG00ATF  TRIMBLE NETR9         ecc_une        0.440000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAR20         LEIM 16247017             0.0 20190324_000000 20200226_000000 log_file
 1043305 GRG3 CZTG00ATF  TRIMBLE NETR9         ecc_une        0.440000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAR20         LEIM 16247017             0.0 20200226_000000 20210622_000000 log_file
 1043306 GRG3 CZTG00ATF  TRIMBLE ALLOY         ecc_une        0.440000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAR20         LEIM 16247017             0.0 20210622_000000 20990101_000000 log_file

   60003      DUM100ATA                        mar_xyz -1940883.779100 0.000001  1628483.253500 0.000001 -5833718.028200 0.000001 vit_xyz  0.00000 0.0000  0.00000 0.0000  0.00000 0.0000  20100101_000000                 i20i20
 6000300 GRG3 DUM100ATA  ASHTECH Z-XII3        ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH700936E      SNOW CR15276              0.0 19971220_000000 20990101_000000 log_file

   60004      DUMG00ATA                        mar_xyz -1940884.000000 0.000001  1628468.000000 0.000001 -5833720.000000 0.000001 vit_xyz  0.00000 0.0000  0.00000 0.0000  0.00000 0.0000  20100101_000000                 i20i20
 6000400 GRG3 DUMG00ATA  LEICA GR25            ecc_une        0.427800 0.000000       -0.000500 0.000000        0.000300 0.000000            LEIAR25.R4      LEIT 726468               0.0 20170117_000000 20190109_000000 log_file
 6000401 GRG3 DUMG00ATA  LEICA GR25            ecc_une        0.427800 0.000000       -0.000500 0.000000        0.000300 0.000000            LEIAR25.R4      LEIT 726468               0.0 20190109_000000 20240105_030000 log_file
 6000402 GRG3 DUMG00ATA  LEICA GR50            ecc_une        0.427800 0.000000       -0.000500 0.000000        0.000300 0.000000            LEIAR25.R4      LEIT 726468               0.0 20240105_100000 20990101_000000 log_file

   10617      IRYL00GUF                        mar_xyz  3858718.803300 0.000001 -5044576.831900 0.000001   583535.056300 0.000001 vit_xyz  0.00000 0.0000  0.00000 0.0000  0.00000 0.0000  20100101_000000                 i20i20
 1061700 GRG3 IRYL00GUF  TRIMBLE NETR9         ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441101394           0.0 20130927_000000 20160720_140000 log_file
 1061701 GRG3 IRYL00GUF  TRIMBLE NETR9         ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441101394           0.0 20160720_140000 20180117_140000 log_file
 1061702 GRG3 IRYL00GUF  TRIMBLE NETR9         ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441101394           0.0 20180117_140000 20201017_112000 log_file
 1061703 GRG3 IRYL00GUF  TRIMBLE ALLOY         ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 1441101394           0.0 20201017_112000 20220516_000000 log_file

   10648      KERG00ATF                        mar_xyz  1406337.247000 0.000001  3918161.108000 0.000001 -4816167.370000 0.000001 vit_xyz  0.00000 0.0000  0.00000 0.0000  0.00000 0.0000  20100101_000000                 i20i20
 1064800 GRG3 KERG00ATF  ROGUE SNR-8C          ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            AOAD/M_T        NONE 154                  0.0 19941116_000000 19990331_000000 log_file
 1064801 GRG3 KERG00ATF  TRIMBLE 4000SSI       ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220139608           0.0 19990401_000000 20010511_050000 log_file
 1064802 GRG3 KERG00ATF  TRIMBLE 4000SSI       ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220139608           0.0 20010511_050000 20040112_000000 log_file
 1064803 GRG3 KERG00ATF  ASHTECH UZ-12         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220139608           0.0 20040113_000000 20041013_151400 log_file
 1064804 GRG3 KERG00ATF  ASHTECH UZ-12         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220139608           0.0 20041013_151500 20080728_000000 log_file
 1064805 GRG3 KERG00ATF  ASHTECH UZ-12         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 73809                0.0 20080728_134000 20080905_113500 log_file
 1064806 GRG3 KERG00ATF  ASHTECH UZ-12         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20080905_114000 20110215_023000 log_file
 1064807 GRG3 KERG00ATF  ASHTECH UZ-12         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20110215_023000 20110713_120100 log_file
 1064808 GRG3 KERG00ATF  TRIMBLE NETR5         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20110713_121500 20110719_090000 log_file
 1064809 GRG3 KERG00ATF  ASHTECH UZ-12         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20110719_093500 20120117_083000 log_file
 1064810 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20120117_083200 20121219_080000 log_file
 1064811 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20121219_080000 20140612_142500 log_file
 1064812 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20140612_142500 20150623_082500 log_file
 1064813 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20150623_090000 20151021_122000 log_file
 1064814 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20151021_122100 20160801_111500 log_file
 1064815 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20160801_112500 20161216_122500 log_file
