 X Y Z Nom
6 0.003999999724328518 0.10099999979138374 0.01500000013038516 RKD400FRA_R_20230260000
7 0.10600000014528632 0.2540000001899898 0.0940000000409782 RKD400FRA_R_20230280000
11 0.0030000004917383194 0.010999999940395355 0.003999999724328518 NUMB00FRA_R_20230460000
12 0.007000000216066837 0.0 0.010999999940395355 NUMB00FRA_R_20230450000
14 0.026999999769032 0.010000000009313226 0.018000000156462193 NUMB00FRA_R_20230470000
15 0.007999999448657036 0.004999999888241291 0.00699999975040555 MATO00FRA_R_20230460000
16 0.0 0.0009999999310821295 0.0009999996982514858 MATO00FRA_R_20230442100
17 0.0009999992325901985 0.006999999983236194 0.009999999776482582 MATO00FRA_R_20230450000
18 0.007999999448657036 0.01699999999254942 0.012000000104308128 MATO00FRA_R_20230470000
19 0.11400000005960464 0.12599999993108213 0.0010000001639127731 NUMB00FRA_R_20230660000
20 0.020999999716877937 0.0009999996982514858 0.018000000156462193 KAKD00FRA_R_20230630000
21 0.0020000003278255463 0.0010000001639127731 0.0 KAKD00FRA_R_20230610000
22 0.0020000003278255463 0.008999999612569809 0.0029999997932463884 KAKD00FRA_R_20230620000
23 0.004999999888241291 0.01500000013038516 0.0 LDPI00FRA_R_20230550000
24 0.0029999995604157448 0.0 0.006999999983236194 LDPI00FRA_R_20230540000
25 0.01600000075995922 0.006000000052154064 0.003999999957159162 LDPI00FRA_R_20230530000
26 0.0010000001639127731 0.007999999914318323 0.0020000000949949026 LOU400FRA_R_20230580000
27 0.007000000216066837 0.004999999888241291 0.004999999888241291 LOU400FRA_R_20230570000
28 0.0400000000372529 0.053000000305473804 0.010000000009313226 LOU400FRA_R_20230561800
29 0.024999999441206455 0.003000000026077032 0.005000000353902578 TAOC00FRA_R_20230880000
30 0.018000000156462193 0.003000000026077032 0.0 TAOC00FRA_R_20230870000
31 0.01699999999254942 0.0400000000372529 0.01699999999254942 TOUJ00FRA_R_20230870000
32 0.0010000001639127731 0.003000000026077032 0.001999999862164259 TOUJ00FRA_R_20230880000
33 0.027999999932944775 0.007999999914318323 0.007999999914318323 TOUJ00FRA_R_20230860300
34 0.0 0.014000000199303031 0.006999999983236194 DAKI00FRA_R_20230800000
35 0.003999999724328518 0.010000000009313226 0.0009999999310821295 DAKI00FRA_R_20230791900
36 0.014000000432133675 0.01600000006146729 0.010000000009313226 DAKI00FRA_R_20230810000
37 0.02500000037252903 0.003999999957159162 0.006000000052154064 DAKI00FRA_R_20230820000
38 0.058999999426305294 0.06900000013411045 0.03300000005401671 NDIC00FRA_R_20230910000
39 0.023000000044703484 0.027999999932944775 0.02000000001862645 NDIC00FRA_R_20230900000
40 0.7570000002160668 0.2900000000372529 0.1810000000987202 NDIC00FRA_R_20230891700
42 0.009999999776482582 0.003000000026077032 0.004000000189989805 RAPA00FRA_R_20230980000
43 0.02000000048428774 0.010999999940395355 0.004000000189989805 RAPA00FRA_R_20230990000
45 0.0010000001639127731 0.0 0.006999999983236194 TANI00FRA_R_20231030800
46 0.5389999998733401 0.15899999998509884 0.0829999998677522 TANI00FRA_R_20231020900
51 0.012000000104308128 0.003999999957159162 0.004999999888241291 OUVN00FRA_R_20231230000
52 0.004999999888241291 0.0009999999310821295 0.005000000353902578 OUVN00FRA_R_20231240000
55 0.0010000001639127731 0.0 0.0 OUVN00FRA_R_20231220000
56 0.006000000052154064 0.0020000003278255463 0.0009999999310821295 MANN00FRA_R_20231390000
57 0.013000000268220901 0.0010000001639127731 0.003000000026077032 MANN00FRA_R_20231400000
59 0.0030000004917383194 0.009000000078231096 0.0020000000949949026 MANN00FRA_R_20231410000
60 0.0359999998472631 0.04399999976158142 0.019999999785795808 DIEG00FRA_R_20232290900
62 0.0359999998472631 0.04399999976158142 0.019999999785795808 DIEG00FRA_R_20232290900
61 0.043000000063329935 0.2779999999329448 0.1489999999757856 DIEG00FRA_R_20232281100
63 0.043000000063329935 0.2779999999329448 0.1489999999757856 DIEG00FRA_R_20232281100
64 0.1739999996498227 0.009999999776482582 0.0 NOSY00FRA_R_20232350000
65 0.1739999996498227 0.009999999776482582 0.0 NOSY00FRA_R_20232350000
66 0.05599999986588955 0.05599999986588955 0.01600000006146729 NOSY00FRA_R_20232331000
67 0.05599999986588955 0.05599999986588955 0.01600000006146729 NOSY00FRA_R_20232331000
68 0.010999999940395355 0.0400000000372529 0.0 KUTO00FRA_R_20231920000
71 0.010999999940395355 0.0400000000372529 0.0 KUTO00FRA_R_20231920000
69 0.004999999888241291 0.011999999871477485 0.001999999862164259 KUTO00FRA_R_20231940000
75 0.004999999888241291 0.011999999871477485 0.001999999862164259 KUTO00FRA_R_20231940000
70 0.007000000216066837 0.0010000001639127731 0.004999999888241291 KUTO00FRA_R_20231930000
72 0.007000000216066837 0.0010000001639127731 0.004999999888241291 KUTO00FRA_R_20231930000
73 0.10399999935179949 0.0779999999795109 0.027999999932944775 KUTO00FRA_R_20231912100
74 0.10399999935179949 0.0779999999795109 0.027999999932944775 KUTO00FRA_R_20231912100
76 0.007000000216066837 0.0 0.0020000000949949026 TAUD00FRA_R_20232780000
77 0.0 0.01500000013038516 0.030000000027939677 TAUD00FRA_R_20232762000
78 0.0029999995604157448 0.012000000104308128 0.006999999983236194 TAUD00FRA_R_20232790000
79 0.006000000052154064 0.015999999828636646 0.003999999957159162 TAUD00FRA_R_20232770000
80 0.013000000268220901 0.005000000353902578 0.005000000004656613 HAKA00FRA_R_20232780000
81 0.012999999336898327 0.0 0.0009999999310821295 HAKA00FRA_R_20232790000
82 0.004999999888241291 0.003999999957159162 0.0020000003278255463 OUIL00FRA_R_20232970000
83 0.00800000037997961 0.0009999999310821295 0.006000000052154064 OUIL00FRA_R_20232960000
84 0.08100000023841858 0.07099999999627471 0.008000000030733645 ABDC00FRA_R_20232951000
85 0.12800000049173832 0.028999999980442226 0.011999999987892807 ABDC00FRA_R_20232941000
86 0.0669999998062849 0.07000000006519258 0.0400000000372529 HEIO00FRA_R_20233470000
87 0.004999999888241291 0.006000000052154064 0.013999999966472387 HEIO00FRA_R_20233450400
88 0.04200000036507845 0.010000000009313226 0.01500000013038516 HEIO00FRA_R_20233460000
89 0.0 0.01799999998183921 0.003000000026077032 HALA00FRA_R_20233460000
90 0.012000000104308128 0.008999999961815774 0.006000000052154064 HALA00FRA_R_20233450000
91 0.01899999938905239 0.04099999973550439 0.007999999914318323 MAKJ00FRA_R_20233430000
92 0.0 0.014999999664723873 0.006000000052154064 MAKJ00FRA_R_20233411800
93 0.01699999999254942 0.02700000023469329 0.007999999914318323 MAKJ00FRA_R_20233420000
94 0.020999999716877937 0.0059999998193234205 0.02599999960511923 REPD00FRA_R_20240240000
95 0.010000000707805157 0.0020000000949949026 0.004999999888241291 REPD00FRA_R_20240230000
96 0.0 0.003000000026077032 0.010000000009313226 FAKA00FRA_R_20233090000
97 0.023000000044703484 0.003000000026077032 0.014999999897554517 FAKA00FRA_R_20233080000
98 0.003999999724328518 0.001999999862164259 0.0 MAKU00000_U_20233360000
99 0.006000000052154064 0.004000000189989805 0.0009999999310821295 MAKU00000_U_20233370000
100 0.007999999448657036 0.004000000189989805 0.006000000052154064 MAKU00000_U_20233350000
101 0.009000000543892384 0.004999999888241291 0.001999999862164259 TAHA00FRA_R_20240230000
102 0.0 0.011999999638646841 0.003999999957159162 TAHA00FRA_R_20240220000
103 0.024000000208616257 0.015999999828636646 0.006999999983236194 TAHA00FRA_R_20240250000
104 0.0040000006556510925 0.001999999862164259 0.004999999888241291 TAHA00FRA_R_20240260000
105 0.015999999828636646 0.009000000078231096 0.008999999845400453 TAHA00FRA_R_20240210000
106 0.012999999336898327 0.006000000052154064 0.0009999999310821295 TAHA00FRA_R_20240240000
107 0.125 0.029000000096857548 0.01799999992363155 RARA00FRA_R_20240311700
108 0.01699999999254942 0.016000000294297934 0.0010000001639127731 RARA00FRA_R_20240320000
109 0.007999999448657036 0.009000000078231096 0.010000000009313226 RARA00FRA_R_20240330000
110 0.014000000432133675 0.04399999976158142 0.01699999999254942 RARA00FRA_R_20240340000
111 0.024000000208616257 0.01000000024214387 0.006999999983236194 TOAU00FRA_R_20240240000
112 0.004999999888241291 0.009000000078231096 0.005000000121071935 TOAU00FRA_R_20240230000
113 0.012000000104308128 0.02000000001862645 0.007999999914318323 TOAU00FRA_R_20240250000
114 0.0010000001639127731 0.0 0.003000000026077032 MAHI00FRA_R_20240840000
115 0.0019999993965029716 0.005000000353902578 0.003999999957159162 MAHI00FRA_R_20240850000
116 0.015999999828636646 0.004000000189989805 0.006999999983236194 MAHI00FRA_R_20240830000
117 0.012000000104308128 0.009999999776482582 0.006999999983236194 PAPE00FRA_R_20241020000
118 0.019000000320374966 0.010999999940395355 0.009000000078231096 PAPE00FRA_R_20241010000
119 0.019999999552965164 0.02000000001862645 0.0020000000949949026 PAPE00FRA_R_20241000000
120 0.004999999888241291 0.003999999957159162 0.010999999998603016 DOUA00FRA_R_20241090000
121 0.007000000216066837 0.009000000078231096 0.01799999998183921 DOUA00FRA_R_20241071200
122 0.0020000003278255463 0.001999999862164259 0.006999999983236194 DOUA00FRA_R_20241100000
123 0.0030000004917383194 0.009000000078231096 0.007999999972525984 DOUA00FRA_R_20241080000
124 0.009000000543892384 0.0010000001639127731 0.003999999957159162 DOPT00FRA_R_20241210000
125 0.02500000037252903 0.013000000268220901 0.0010000001639127731 DOPT00FRA_R_20241220000
126 0.019999999552965164 0.0020000003278255463 0.013000000035390258 VAS200000_R_20242760000
127 0.006000000052154064 0.014999999664723873 0.010000000009313226 VAS200000_R_20242750000
128 0.0139999995008111 0.01699999999254942 0.0059999998193234205 VARA00000_U_20242730000
129 0.0019999993965029716 0.0010000001639127731 0.0020000000949949026 VARA00000_U_20242720000
130 0.0020000003278255463 0.01899999985471368 0.009000000078231096 ASAU00FRA_R_20242450000
131 0.013000000268220901 0.027999999932944775 0.012000000104308128 ASAU00FRA_R_20242440000
132 0.012999999802559614 0.012999999802559614 0.00800000037997961 ASAU00FRA_R_20242420000
133 0.003999999724328518 0.009999999776482582 0.006000000052154064 ASAU00FRA_R_20242430000
134 0.08799999952316284 0.04100000002654269 0.010000000009313226 MATA00FRA_R_20242950400
135 0.053999999538064 0.028999999980442226 0.003000000026077032 MATA00FRA_R_20242960000
137 0.07799999974668026 0.01899999985471368 0.023000000044703484 MARE00FRA_R_20243300000
138 0.0010000001639127731 0.010000000009313226 0.001999999862164259 MARE00FRA_R_20243310000
139 0.004999999888241291 0.0020000000949949026 0.004000000189989805 850500000_R_20243350000
140 0.009999999776482582 0.008999999845400453 0.0010000001639127731 850500000_R_20243340000
141 0.003999999724328518 0.006000000052154064 0.007999999914318323 850500000_R_20243360000
142 0.00800000037997961 0.021000000182539225 0.0020000000949949026 QUAI00000_R_20243290000
143 0.006000000052154064 0.0400000000372529 0.003999999957159162 QUAI00000_R_20243280000
144 0.014000000432133675 0.0009999992325901985 0.005000000121071935 DZBN00000_R_20250140642
145 0.006000000052154064 0.007000000216066837 0.003999999957159162 PASS00000_R_20250280000
146 0.0020000003278255463 0.001999999862164259 0.0 PASS00000_R_20250250000
147 0.026999999769032 0.014999999664723873 0.010000000009313226 PASS00000_R_20250270000
148 0.003999999724328518 0.001999999862164259 0.003000000026077032 PASS00000_R_20250260000
150 0.006000000052154064 0.003000000026077032 0.0 Kaue00000_R_20250310000
151 0.044000000692903996 0.027999999932944775 0.008000000147148967 Kaue00000_R_20250300000
152 0.006000000052154064 0.054999999701976776 0.006000000052154064 Kaue00000_R_20250290000
153 0.03000000026077032 0.019000000320374966 0.0020000000949949026 DJIY00FRA_R_20250530000
154 0.007000000216066837 0.005000000819563866 0.0 DJIY00FRA_R_20250510000
155 0.056000000797212124 0.02199999988079071 0.005000000121071935 DJIY00FRA_R_20250520000
156 0.015999999828636646 0.026000000070780516 0.015000000013969839 UAPJ00FRA_R_20250761700
157 0.006999999284744263 0.007999999914318323 0.005999999935738742 UAPJ00FRA_R_20250780000
158 0.012000000104308128 0.013999999966472387 0.003999999957159162 UAPJ00FRA_R_20250770000
159 0.004999999888241291 0.006000000052154064 0.001999999978579581 HAKA00FRA_R_20250760000
160 0.007000000216066837 0.009000000078231096 0.005000000004656613 HAKA00FRA_R_20250750000
161 0.0020000003278255463 0.00699999975040555 0.003999999957159162 HAKA00FRA_R_20250770000
163 0.039000000804662704 0.024999999906867743 0.001999999862164259 GOME00000_R_20250850000
164 0.03799999970942736 0.012000000104308128 0.001999999862164259 GOME00000_R_20250840000
165 0.07099999953061342 0.0020000000949949026 0.029000000096857548 017100000_R_20251050000
166 0.013000000268220901 0.013999999966472387 0.0010000001639127731 017100000_R_20251040000
167 0.013000000268220901 0.001999999862164259 0.004999999888241291 Fakm00000_R_20251240000
168 0.012000000104308128 0.005000000353902578 0.007999999914318323 Fakm00000_R_20251250000
169 0.0 0.001999999862164259 0.0 RANG00FRA_R_20251310000
170 0.009000000543892384 0.004000000189989805 0.010000000009313226 RANG00FRA_R_20251290000
171 0.015999999828636646 0.009999999776482582 0.005000000121071935 RANG00FRA_R_20251300000
172 0.003999999724328518 0.0020000003278255463 0.003000000026077032 FUTE00FRA_R_20251730000
173 0.02199999988079071 0.01000000024214387 0.013999999966472387 FUTE00FRA_R_20251740000
174 0.00800000037997961 0.026000000070780516 0.012999999802559614 FUTE00FRA_R_20251720000
175 0.01699999999254942 0.022999999579042196 0.003999999957159162 FUTE00FRA_R_20251712000
176 0.004999999888241291 0.03200000012293458 0.005000000121071935 069000000_R_20252410325
177 0.006000000052154064 0.007999999914318323 0.003999999957159162 069000000_R_20252420000
178 0.01699999999254942 0.014999999664723873 0.003999999957159162 069000000_R_20252430000
179 0.04800000041723251 0.0020000003278255463 0.005000000121071935 AFAR00000_R_20252460000
180 0.02000000048428774 0.030999999959021807 0.0010000001639127731 AFAR00000_R_20252450000
181 0.01699999999254942 0.004999999888241291 0.005000000353902578 ESQN00FRA_R_20252590000
182 0.014999999664723873 0.0010000001639127731 0.001999999862164259 ESQN00FRA_R_20252600000
183 0.003999999724328518 0.027000000001862645 0.003000000026077032 ESQN00FRA_R_20252582100
184 0.00800000037997961 0.011000000406056643 0.007000000216066837 REPK00000_R_20252820000
185 0.022000000812113285 0.023000000044703484 0.003000000026077032 REPK00000_R_20252830000
186 0.024000000208616257 0.047999999951571226 0.0 REPY00000_R_20252850000
187 0.06499999947845936 0.018000000156462193 0.007000000216066837 REPY00000_R_20252860000
188 0.006000000052154064 0.003000000026077032 0.0009999996982514858 TUBU00000_U_20252740007
189 0.007999999448657036 0.004999999888241291 0.004000000189989805 TUBU00000_U_20252750003
190 0.006999999983236194 0.010999999940395355 0.0010000001639127731 240300000_R_20253280014
191 0.010999999940395355 0.008999999612569809 0.001999999862164259 240300000_R_20253290000
193 0.010999999940395355 0.008999999612569809 0.001999999862164259 240300000_R_20253290000
192 0.014999999897554517 0.018000000156462193 0.0 240300000_R_20253300000
194 0.0009999996982514858 0.006000000052154064 0.007000000216066837 REPT00000_R_20253340000
195 0.0 0.024000000208616257 0.0010000001639127731 REPT00000_R_20253350000
196 0.004999999888241291 0.014999999664723873 0.005999999586492777 REPT00000_R_20253330016
197 0.007999999914318323 0.007000000216066837 0.001999999862164259 RIKU00000_U_20253290000
198 0.004000000189989805 0.009000000078231096 0.003000000026077032 RIKU00000_U_20253280024
199 0.010000000707805157 0.012000000104308128 0.007999999914318323 RepD00000_R_20260340000
200 0.0019999993965029716 0.011000000173225999 0.0 RepD00000_R_20260350000
201 0.0030000004917383194 0.003000000026077032 0.0010000001639127731 RepD00000_R_20260360000
202 0.019000000320374966 0.003000000026077032 0.003000000026077032 VARA00000_U_20260750000
203 0.031000000424683094 0.009000000078231096 0.010999999940395355 VARA00000_U_20260740016
204 0.024000000208616257 0.009000000078231096 0.009000000078231096 RepD00000_R_20260840000
205 0.0139999995008111 0.007999999914318323 0.00699999975040555 RepD00000_R_20260850000
206 0.0029999995604157448 0.003000000026077032 0.010999999940395355 REPW00000_R_20261050000
207 0.0019999993965029716 0.023000000044703484 0.001999999862164259 REPW00000_R_20261060000
